group;cluster;length;end to end distance;ratio
Mutant;1;11.335812583853;7.23403731660115;0.63815780854612
Mutant;1;10.2021294481472;7.53304816780656;0.738379982933329
Mutant;1;8.80530801613443;8.29608143712886;0.942168226475157
Mutant;1;9.71685818296438;7.38009017055171;0.759514035461638
Mutant;1;10.0884059581241;6.73010568423119;0.667112892975078
Mutant;1;10.8515561291462;7.94935603847991;0.732554478258537
Mutant;1;10.376726709839;9.45884026958533;0.911543739570268
Mutant;1;9.91696829942059;9.28200070677293;0.935971602058589
Mutant;1;9.92843896229018;9.29435840020095;0.936134918641534
Mutant;1;10.2909841146571;9.52094308946934;0.925173237407779
Mutant;1;10.881011675476;9.73428920021333;0.894612513113353
Mutant;1;9.79726230905955;5.46695955682042;0.558008899258021
Mutant;1;9.81101878995081;7.00006279978209;0.713489898414228
Mutant;1;9.36683096387534;8.26915102594221;0.882812026589729
Mutant;1;8.60405753844391;2.24112002005651;0.260472458493324
Mutant;1;10.6456798024261;8.68473647717202;0.815799144662681
Mutant;1;11.7619675637955;9.68899885701902;0.823756638034158
Mutant;1;9.2365008726735;4.56438146605792;0.49416781625191
Mutant;1;10.0753246806387;3.60173581676237;0.357480868451183
Mutant;1;12.6981304021412;9.04051207038993;0.711956152920391
Mutant;1;10.1560674758575;3.10458291157152;0.30568750345068
Mutant;1;8.89927721358142;7.31112135627771;0.821541028648935
Mutant;1;8.70790331529483;6.32615506055147;0.726484301845659
Mutant;1;8.9666627128962;6.26139391883924;0.6982970274809
Mutant;1;9.03637933621499;7.79125359852322;0.862209664804387
Mutant;1;9.34541678117123;8.33019922689765;0.89136733245338
Mutant;1;8.55380272669375;2.10338542105506;0.245900623180267
Mutant;1;8.80561983629932;7.30385427123099;0.829453736024621
Mutant;1;9.56395843844056;1.95490992870924;0.204403850277292
Mutant;1;9.02501579428644;6.83559429139698;0.75740524417968
Mutant;1;9.03212298394734;6.57378412731587;0.727822698937931
Mutant;1;8.64039344804427;7.19098456954824;0.832251981670569
Mutant;1;8.78677202092392;5.50560490062245;0.626578780866508
Mutant;1;9.21699628058732;6.21271753874107;0.674050129739793
Mutant;1;8.01348761968082;7.62231812996091;0.951186111680111
Mutant;1;9.53024024659686;7.4570850218637;0.782465586271715
Mutant;1;10.3129036245905;5.7509221558205;0.557643352945506
Mutant;1;8.72828733209609;7.68287827159984;0.880227469522913
Mutant;1;10.0409417702221;8.46396297303203;0.842945130718031
Mutant;1;10.9996843692396;7.48982832523992;0.680913022030442
Mutant;2;10.1120861041631;7.43962874720406;0.735716514927736
Mutant;2;8.36457679306572;5.09870878397719;0.609559683665532
Mutant;2;8.44174279622903;4.78156494681344;0.566419169860208
Mutant;2;8.43716209549927;3.73699375829315;0.44292070200792
Mutant;2;8.98101307381073;6.44483568726041;0.717606759314716
Mutant;2;9.02540869834049;6.07644128740706;0.673259404698685
Mutant;2;8.18541104946251;3.62936751665656;0.443394656019734
Mutant;2;8.80561983629932;7.30385427123099;0.829453736024621
Mutant;2;9.01663071739177;6.0372589087214;0.669569276811615
Mutant;2;8.88801270592706;8.45129684899689;0.950864622792568
Mutant;2;8.96416092865657;6.11857007955504;0.682559151743387
Mutant;2;8.63670426150163;2.45980862551722;0.284808713027479
Mutant;2;8.27672227066635;5.77225800289958;0.697408685967043
Mutant;2;8.60058952649852;7.10901407386215;0.826572882237804
Mutant;2;7.64931103405735;4.90011557898068;0.640595676808498
Mutant;2;8.91777443595962;7.55426434044473;0.847101975351974
Mutant;2;8.13487677089738;2.20374881813631;0.270901315434826
Mutant;2;7.53584418241191;5.91869301934042;0.785405440462026
Mutant;2;9.41015827070258;5.7565549697326;0.611738379327259
Mutant;2;10.8505810704604;4.51008783012582;0.415654037404881
Mutant;2;9.89726831645327;5.23463166436359;0.52889661035677
Mutant;2;8.18578924908456;7.03954934618219;0.859971974842797
Mutant;2;7.80228940861998;4.66132350975687;0.597430224083592
Mutant;2;8.15662505298491;5.51794427382735;0.676498458367663
Mutant;2;8.74907656815551;3.08248530781074;0.352321217421988
Mutant;2;8.75881325810381;7.59236903724838;0.866826225598974
Mutant;2;8.14513198176985;5.76849698958092;0.708214059943015
Mutant;2;8.75575750327005;6.79083811453917;0.775585449003466
Mutant;2;8.96022648592395;5.16602756226183;0.576551002407963
Mutant;2;8.50680036965944;6.27381603603398;0.737505967391726
Mutant;2;8.30075148344622;6.28445416264362;0.757094604648314
Mutant;2;8.04485333174262;6.03644381015354;0.750348522369639
Mutant;2;8.23301484153708;2.69840910011085;0.327754674569136
Mutant;2;8.57118702121792;7.02587159045617;0.819708118964581
Mutant;2;7.55231452897281;5.23241246703171;0.69282237212959
Mutant;2;8.69531926908805;3.56070158605253;0.409496359577141
Mutant;2;7.66559056985191;7.04883180624974;0.919541911613721
Mutant;2;7.51647683439596;4.50560950687575;0.599431037458633
Mutant;2;8.93053063819636;7.08467669618275;0.793309712849672
Mutant;2;10.4321903595598;8.94561643576846;0.857501265548799
Mutant;2;9.28801292370731;5.71031523212685;0.614804832748616
Mutant;2;6.65103049819654;2.78901630825263;0.419335967412702
Mutant;2;7.80188744371836;6.44753401825481;0.826406951493001
Mutant;2;8.13585679503569;7.1364541211959;0.877160734386377
Mutant;2;8.06590802284481;3.41380524720331;0.423238801822994
Mutant;2;8.72126037009204;4.14106281667799;0.474823894821327
Mutant;2;7.89504173446776;6.08256495579719;0.770428474018351
Mutant;2;8.1923074649243;5.25965963874423;0.642024199075007
Mutant;2;8.51954199311158;7.43088591265529;0.872216595523971
