"mouse";"Set ID";"FITC Rank";"Lgth Rank";"Rel len";"Total Len";"Len";"No_foci";"F1";"F2";"round F1";"round F2"
2;"m2-2 s37";5;1;0.0802027257;185.41;14.87;2;0.17;0.97;0.17;0.97
2;"m2-2 s37";6;11;0.0467014877;185.41;8.66;1;0.58;;0.58;
2;"m2-2 s37";7;3;0.0734025198;185.41;13.61;1;0.67;;0.67;
2;"m2-2 s37";8;9;0.0555309581;185.41;10.30;1;0.81;;0.81;
2;"m2-2 s37";9;5;0.0624194547;185.41;11.57;1;0.32;;0.32;
2;"m2-2 s37";10;6;0.0617776061;185.41;11.45;1;0.36;;0.36;
2;"m2-2 s37";11;8;0.0579397047;185.41;10.74;2;0.32;0.94;0.32;0.94
2;"m2-2 s37";12;13;0.0422681947;185.41;7.84;1;0.91;;0.91;
2;"m2-2 s37";13;14;0.0416200267;185.41;7.72;1;0.50;;0.5;
2;"m2-2 s37";14;16;0.0403134197;185.41;7.47;1;0.71;;0.71;
2;"m2-2 s37";15;12;0.0449592044;185.41;8.34;1;0.53;;0.53;
2;"m2-2 s37";16;17;0.0354170548;185.41;6.57;1;0.91;;0.91;
2;"m2-2 s37";17;15;0.0404667983;185.41;7.50;1;0.95;;0.95;
2;"m2-2 s37";18;18;0.0319088464;185.41;5.92;1;0.79;;0.79;
2;"m2-2 s37";19;19;0.0283953173;185.41;5.26;1;0.98;;0.98;
2;"m2-2 s40";1;2;0.0771408447;185.49;14.31;1;0.64;;0.64;
2;"m2-2 s40";2;1;0.0789310724;185.49;14.64;2;0.50;0.95;0.5;0.95
2;"m2-2 s40";3;9;0.0555566471;185.49;10.31;2;0.19;0.92;0.19;0.92
2;"m2-2 s40";4;5;0.0601587337;185.49;11.16;1;0.64;;0.64;
2;"m2-2 s40";5;3;0.0665784841;185.49;12.35;1;0.68;;0.68;
2;"m2-2 s40";6;11;0.0504903337;185.49;9.37;1;0.90;;0.9;
2;"m2-2 s40";7;4;0.0662672726;185.49;12.29;2;0.33;0.86;0.33;0.86
2;"m2-2 s40";8;6;0.0593272959;185.49;11.00;1;0.36;;0.36;
